id,minute,result,X,Y,NewX,NewY,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,Minute
405835,92,MissedShots,0.819000015,0.650999985,98,52,0.033213705,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14683,West Ham,Tottenham,2,1,2/21/2021 12:00,Eric Dier,BallTouch,92
407274,72,SavedShot,0.87,0.577000008,104,46,0.124357715,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14693,Tottenham,Burnley,4,0,2/28/2021 14:00,Dele Alli,Pass,72
407275,82,MissedShots,0.793000031,0.390999985,95,31,0.144002184,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14693,Tottenham,Burnley,4,0,2/28/2021 14:00,Harry Kane,Throughball,82
408226,28,MissedShots,0.739000015,0.746999969,89,60,0.016936408,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14757,Fulham,Tottenham,0,1,3/4/2021 18:00,Harry Kane,Pass,28
408228,39,MissedShots,0.943000031,0.625,113,50,0.047135316,Son Heung-Min,a,453,OpenPlay,2020,Head,14757,Fulham,Tottenham,0,1,3/4/2021 18:00,Dele Alli,Cross,39
409199,5,SavedShot,0.909000015,0.57,109,46,0.26802057,Son Heung-Min,h,453,OpenPlay,2020,Head,14702,Tottenham,Crystal Palace,4,1,3/7/2021 19:15,Gareth Bale,Cross,5
409207,54,MissedShots,0.774000015,0.649000015,93,52,0.040416986,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14702,Tottenham,Crystal Palace,4,1,3/7/2021 19:15,Gareth Bale,Chipped,54
414629,2,MissedShots,0.855,0.515,103,41,0.065178111,Son Heung-Min,h,453,FromCorner,2020,RightFoot,14742,Tottenham,Manchester United,1,3,4/11/2021 15:30,,None,2
414631,39,Goal,0.931999969,0.605,112,48,0.386114746,Son Heung-Min,h,453,OpenPlay,2020,LeftFoot,14742,Tottenham,Manchester United,1,3,4/11/2021 15:30,Lucas Moura,Pass,39
414638,59,SavedShot,0.895,0.622999992,107,50,0.070679836,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14742,Tottenham,Manchester United,1,3,4/11/2021 15:30,Serge Aurier,Rebound,59
414649,83,MissedShots,0.935999985,0.69,112,55,0.041410703,Son Heung-Min,h,453,FromCorner,2020,RightFoot,14742,Tottenham,Manchester United,1,3,4/11/2021 15:30,,None,83
415050,0,BlockedShot,0.745,0.285,89,23,0.013434292,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14748,Everton,Tottenham,2,2,4/16/2021 19:00,,BallRecovery,0
415065,51,SavedShot,0.968000031,0.671999969,116,54,0.079087682,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14748,Everton,Tottenham,2,2,4/16/2021 19:00,Harry Kane,TakeOn,51
415071,70,BlockedShot,0.781999969,0.605999985,94,48,0.02719908,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14748,Everton,Tottenham,2,2,4/16/2021 19:00,Lucas Moura,Pass,70
416402,50,BlockedShot,0.851999969,0.614000015,102,49,0.050711438,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14722,Tottenham,Southampton,2,1,4/21/2021 19:00,Gareth Bale,Pass,50
416408,89,Goal,0.885,0.5,106,40,0.761168838,Son Heung-Min,h,453,Penalty,2020,RightFoot,14722,Tottenham,Southampton,2,1,4/21/2021 19:00,,Standard,89
419313,15,SavedShot,0.773000031,0.614000015,93,49,0.025608644,Son Heung-Min,h,453,OpenPlay,2020,LeftFoot,14773,Tottenham,Sheffield United,4,0,5/2/2021 18:15,Serge Aurier,Pass,15
419331,76,Goal,0.788000031,0.617000008,95,49,0.043065414,Son Heung-Min,h,453,OpenPlay,2020,RightFoot,14773,Tottenham,Sheffield United,4,0,5/2/2021 18:15,Steven Bergwijn,Pass,76
419833,24,Goal,0.883000031,0.455,106,36,0.407306373,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14778,Leeds,Tottenham,3,1,5/8/2021 11:30,Dele Alli,Pass,24
419841,54,MissedShots,0.875,0.684000015,105,55,0.047536083,Son Heung-Min,a,453,OpenPlay,2020,LeftFoot,14778,Leeds,Tottenham,3,1,5/8/2021 11:30,Giovani Lo Celso,Pass,54
419842,59,BlockedShot,0.805,0.455,97,36,0.041146599,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14778,Leeds,Tottenham,3,1,5/8/2021 11:30,Giovani Lo Celso,BallTouch,59
422407,37,SavedShot,0.916999969,0.650999985,110,52,0.072305195,Son Heung-Min,h,453,OpenPlay,2020,LeftFoot,14793,Tottenham,Wolverhampton Wanderers,2,0,5/16/2021 13:05,Harry Kane,HeadPass,37
424024,2,BlockedShot,0.845999985,0.715,102,57,0.026242658,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14809,Leicester,Tottenham,2,4,5/23/2021 15:00,Sergio Reguil���������,Pass,2
424038,77,SavedShot,0.901999969,0.665,108,53,0.076117903,Son Heung-Min,a,453,OpenPlay,2020,RightFoot,14809,Leicester,Tottenham,2,4,5/23/2021 15:00,Gareth Bale,Pass,77
